Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","100.018193","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","100.028193","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","99.688166","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","99.488149","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","98.918102","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","99.208126","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","99.198125","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","99.518152","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","100.368221","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","100.698248","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","100.728251","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","100.998273","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","100.95827","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","100.688247","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","100.638243","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","100.318217","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","100.448228","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","100.638243","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","100.438227","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","100.34822","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","100.778255","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","101.104687","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","101.519928","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","101.649691","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7005","May","","102.129814","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7006","June","","99.119317","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7007","July","","98.958106","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7008","August","","98.44455","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7009","September","","98.704076","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7010","October","","98.988108","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7011","November","","99.294496","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23012","Consumer Prices, General Indices (2015 = 100)","7012","December","","99.404795","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7001","January","","98.63808","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7002","February","","98.39806","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7003","March","","98.498068","X","Figure from international organizations","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23012","Consumer Prices, General Indices (2015 = 100)","7004","April","","98.348056","X","Figure from international organizations","base year is 2015"
