Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","642","Romania","2012","2012","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","105.84215","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","107.154592","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","107.461535","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","107.387445","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","107.408614","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","108.234182","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","107.45095","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","105.715139","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","104.857818","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","102.942075","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.439533","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.28077","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2013","2013","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.926407","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","104.820174","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","105.131953","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","105.007241","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","104.944886","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","104.820174","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","104.040726","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","103.728947","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","102.793609","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","102.970284","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","103.531487","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","103.250885","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2014","2014","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","103.500309","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","104.09026","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","104.638812","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","104.938963","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","105.280514","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","106.067116","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","","97.34204","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","","96.203537","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","","95.447985","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","","96.307037","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","","96.793489","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","","96.855589","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2015","2015","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","","97.083289","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","","97.539581","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","","97.869664","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","","97.859956","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","","97.500748","A","Official figure","base year is 2015"
"CP","Consumer Price Indices","642","Romania","2016","2016","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","","98.034706","A","Official figure","base year is 2015"
