Temperature - (Celsius), Year, Statistics, Country, ISO3
-0.8,1966, Dec Average, Romania, ROU
-6.3,1967, Jan Average, Romania, ROU
-2.5,1967, Feb Average, Romania, ROU
4.2,1967, Mar Average, Romania, ROU
9.3,1967, Apr Average, Romania, ROU
14.9,1967, May Average, Romania, ROU
17.1,1967, Jun Average, Romania, ROU
20.6,1967, Jul Average, Romania, ROU
19.6,1967, Aug Average, Romania, ROU
16.8,1967, Sep Average, Romania, ROU
11.6,1967, Oct Average, Romania, ROU
5.2,1967, Nov Average, Romania, ROU
-1.7,1967, Dec Average, Romania, ROU
-4.6,1968, Jan Average, Romania, ROU
0.5,1968, Feb Average, Romania, ROU
3.6,1968, Mar Average, Romania, ROU
11.8,1968, Apr Average, Romania, ROU
16.4,1968, May Average, Romania, ROU
19,1968, Jun Average, Romania, ROU
18.8,1968, Jul Average, Romania, ROU
17.9,1968, Aug Average, Romania, ROU
15.4,1968, Sep Average, Romania, ROU
9.1,1968, Oct Average, Romania, ROU
6,1968, Nov Average, Romania, ROU
-2.7,1968, Dec Average, Romania, ROU
-7.4,1969, Jan Average, Romania, ROU
-2.1,1969, Feb Average, Romania, ROU
0.9,1969, Mar Average, Romania, ROU
8,1969, Apr Average, Romania, ROU
16.1,1969, May Average, Romania, ROU
16.9,1969, Jun Average, Romania, ROU
18.4,1969, Jul Average, Romania, ROU
18.7,1969, Aug Average, Romania, ROU
15.2,1969, Sep Average, Romania, ROU
9.2,1969, Oct Average, Romania, ROU
7.2,1969, Nov Average, Romania, ROU
-1.7,1969, Dec Average, Romania, ROU
-1.9,1970, Jan Average, Romania, ROU
-1.1,1970, Feb Average, Romania, ROU
3.6,1970, Mar Average, Romania, ROU
10.1,1970, Apr Average, Romania, ROU
12.8,1970, May Average, Romania, ROU
17.5,1970, Jun Average, Romania, ROU
20,1970, Jul Average, Romania, ROU
18.6,1970, Aug Average, Romania, ROU
14.4,1970, Sep Average, Romania, ROU
8.2,1970, Oct Average, Romania, ROU
5.6,1970, Nov Average, Romania, ROU
0.2,1970, Dec Average, Romania, ROU
-0.9,1971, Jan Average, Romania, ROU
0,1971, Feb Average, Romania, ROU
1.7,1971, Mar Average, Romania, ROU
9.3,1971, Apr Average, Romania, ROU
15.9,1971, May Average, Romania, ROU
17,1971, Jun Average, Romania, ROU
18.6,1971, Jul Average, Romania, ROU
19.9,1971, Aug Average, Romania, ROU
13.2,1971, Sep Average, Romania, ROU
8.3,1971, Oct Average, Romania, ROU
4.1,1971, Nov Average, Romania, ROU
0.9,1971, Dec Average, Romania, ROU
-4.3,1972, Jan Average, Romania, ROU
0.2,1972, Feb Average, Romania, ROU
4.7,1972, Mar Average, Romania, ROU
11.4,1972, Apr Average, Romania, ROU
14.7,1972, May Average, Romania, ROU
18.7,1972, Jun Average, Romania, ROU
20.4,1972, Jul Average, Romania, ROU
18.8,1972, Aug Average, Romania, ROU
13.2,1972, Sep Average, Romania, ROU
7.6,1972, Oct Average, Romania, ROU
4.6,1972, Nov Average, Romania, ROU
-1,1972, Dec Average, Romania, ROU
-3.3,1973, Jan Average, Romania, ROU
0.9,1973, Feb Average, Romania, ROU
2.2,1973, Mar Average, Romania, ROU
9.3,1973, Apr Average, Romania, ROU
14.6,1973, May Average, Romania, ROU
17.1,1973, Jun Average, Romania, ROU
19.3,1973, Jul Average, Romania, ROU
18.5,1973, Aug Average, Romania, ROU
16,1973, Sep Average, Romania, ROU
9.3,1973, Oct Average, Romania, ROU
1.4,1973, Nov Average, Romania, ROU
-1.6,1973, Dec Average, Romania, ROU
-3.6,1974, Jan Average, Romania, ROU
2.3,1974, Feb Average, Romania, ROU
5,1974, Mar Average, Romania, ROU
7.7,1974, Apr Average, Romania, ROU
12.8,1974, May Average, Romania, ROU
15.9,1974, Jun Average, Romania, ROU
18.1,1974, Jul Average, Romania, ROU
19.9,1974, Aug Average, Romania, ROU
15.8,1974, Sep Average, Romania, ROU
10,1974, Oct Average, Romania, ROU
3.6,1974, Nov Average, Romania, ROU
0.9,1974, Dec Average, Romania, ROU
-0.2,1975, Jan Average, Romania, ROU
-1.9,1975, Feb Average, Romania, ROU
6.3,1975, Mar Average, Romania, ROU
9.7,1975, Apr Average, Romania, ROU
15.7,1975, May Average, Romania, ROU
18.2,1975, Jun Average, Romania, ROU
19.6,1975, Jul Average, Romania, ROU
18.8,1975, Aug Average, Romania, ROU
17,1975, Sep Average, Romania, ROU
9.7,1975, Oct Average, Romania, ROU
1.8,1975, Nov Average, Romania, ROU
-1.3,1975, Dec Average, Romania, ROU
-2.8,1976, Jan Average, Romania, ROU
-5.1,1976, Feb Average, Romania, ROU
1,1976, Mar Average, Romania, ROU
9.8,1976, Apr Average, Romania, ROU
13.5,1976, May Average, Romania, ROU
16.4,1976, Jun Average, Romania, ROU
19.2,1976, Jul Average, Romania, ROU
16,1976, Aug Average, Romania, ROU
14.2,1976, Sep Average, Romania, ROU
9.6,1976, Oct Average, Romania, ROU
5.4,1976, Nov Average, Romania, ROU
-0.5,1976, Dec Average, Romania, ROU
-2.1,1977, Jan Average, Romania, ROU
3.5,1977, Feb Average, Romania, ROU
5.8,1977, Mar Average, Romania, ROU
8.3,1977, Apr Average, Romania, ROU
14.4,1977, May Average, Romania, ROU
17.4,1977, Jun Average, Romania, ROU
18.9,1977, Jul Average, Romania, ROU
19,1977, Aug Average, Romania, ROU
13.2,1977, Sep Average, Romania, ROU
9.4,1977, Oct Average, Romania, ROU
5.8,1977, Nov Average, Romania, ROU
-3.6,1977, Dec Average, Romania, ROU
-3.3,1978, Jan Average, Romania, ROU
-1.4,1978, Feb Average, Romania, ROU
4.8,1978, Mar Average, Romania, ROU
8.6,1978, Apr Average, Romania, ROU
12.4,1978, May Average, Romania, ROU
16.8,1978, Jun Average, Romania, ROU
17.8,1978, Jul Average, Romania, ROU
17.4,1978, Aug Average, Romania, ROU
13.4,1978, Sep Average, Romania, ROU
10.2,1978, Oct Average, Romania, ROU
2.2,1978, Nov Average, Romania, ROU
-0.9,1978, Dec Average, Romania, ROU
-3.7,1979, Jan Average, Romania, ROU
-0.6,1979, Feb Average, Romania, ROU
5.6,1979, Mar Average, Romania, ROU
8.2,1979, Apr Average, Romania, ROU
15.5,1979, May Average, Romania, ROU
19.9,1979, Jun Average, Romania, ROU
17.2,1979, Jul Average, Romania, ROU
18.2,1979, Aug Average, Romania, ROU
15.8,1979, Sep Average, Romania, ROU
8,1979, Oct Average, Romania, ROU
5.2,1979, Nov Average, Romania, ROU
1.7,1979, Dec Average, Romania, ROU
-6,1980, Jan Average, Romania, ROU
-1.4,1980, Feb Average, Romania, ROU
2.1,1980, Mar Average, Romania, ROU
7.6,1980, Apr Average, Romania, ROU
12.1,1980, May Average, Romania, ROU
16.7,1980, Jun Average, Romania, ROU
18.4,1980, Jul Average, Romania, ROU
17.9,1980, Aug Average, Romania, ROU
14,1980, Sep Average, Romania, ROU
10.8,1980, Oct Average, Romania, ROU
3.4,1980, Nov Average, Romania, ROU
-0.9,1980, Dec Average, Romania, ROU
-4.5,1981, Jan Average, Romania, ROU
-1.4,1981, Feb Average, Romania, ROU
5.6,1981, Mar Average, Romania, ROU
8,1981, Apr Average, Romania, ROU
13.8,1981, May Average, Romania, ROU
19.2,1981, Jun Average, Romania, ROU
18.8,1981, Jul Average, Romania, ROU
18.5,1981, Aug Average, Romania, ROU
15.7,1981, Sep Average, Romania, ROU
11.7,1981, Oct Average, Romania, ROU
2.5,1981, Nov Average, Romania, ROU
-0.2,1981, Dec Average, Romania, ROU
-5.4,1982, Jan Average, Romania, ROU
-4.2,1982, Feb Average, Romania, ROU
3,1982, Mar Average, Romania, ROU
7,1982, Apr Average, Romania, ROU
15.4,1982, May Average, Romania, ROU
18,1982, Jun Average, Romania, ROU
18.6,1982, Jul Average, Romania, ROU
19.4,1982, Aug Average, Romania, ROU
17.7,1982, Sep Average, Romania, ROU
10.7,1982, Oct Average, Romania, ROU
3.4,1982, Nov Average, Romania, ROU
2.5,1982, Dec Average, Romania, ROU
0.6,1983, Jan Average, Romania, ROU
-1.3,1983, Feb Average, Romania, ROU
5.3,1983, Mar Average, Romania, ROU
11.3,1983, Apr Average, Romania, ROU
16.3,1983, May Average, Romania, ROU
17.3,1983, Jun Average, Romania, ROU
20.1,1983, Jul Average, Romania, ROU
18.7,1983, Aug Average, Romania, ROU
15.7,1983, Sep Average, Romania, ROU
9.1,1983, Oct Average, Romania, ROU
1,1983, Nov Average, Romania, ROU
-1.6,1983, Dec Average, Romania, ROU
-0.9,1984, Jan Average, Romania, ROU
-1.9,1984, Feb Average, Romania, ROU
2.3,1984, Mar Average, Romania, ROU
8.6,1984, Apr Average, Romania, ROU
14.6,1984, May Average, Romania, ROU
16.2,1984, Jun Average, Romania, ROU
17.5,1984, Jul Average, Romania, ROU
18,1984, Aug Average, Romania, ROU
16.3,1984, Sep Average, Romania, ROU
11.8,1984, Oct Average, Romania, ROU
3.9,1984, Nov Average, Romania, ROU
-2.4,1984, Dec Average, Romania, ROU
-7.6,1985, Jan Average, Romania, ROU
-8.7,1985, Feb Average, Romania, ROU
1.7,1985, Mar Average, Romania, ROU
9.9,1985, Apr Average, Romania, ROU
15.9,1985, May Average, Romania, ROU
15.9,1985, Jun Average, Romania, ROU
18.9,1985, Jul Average, Romania, ROU
19.7,1985, Aug Average, Romania, ROU
14.3,1985, Sep Average, Romania, ROU
8.4,1985, Oct Average, Romania, ROU
3.4,1985, Nov Average, Romania, ROU
1.1,1985, Dec Average, Romania, ROU
-1.1,1986, Jan Average, Romania, ROU
-3.7,1986, Feb Average, Romania, ROU
3.1,1986, Mar Average, Romania, ROU
11.4,1986, Apr Average, Romania, ROU
16,1986, May Average, Romania, ROU
18,1986, Jun Average, Romania, ROU
18.6,1986, Jul Average, Romania, ROU
20.5,1986, Aug Average, Romania, ROU
15.8,1986, Sep Average, Romania, ROU
8.8,1986, Oct Average, Romania, ROU
3.1,1986, Nov Average, Romania, ROU
-3.3,1986, Dec Average, Romania, ROU
-6.5,1987, Jan Average, Romania, ROU
-1.9,1987, Feb Average, Romania, ROU
-1.8,1987, Mar Average, Romania, ROU
8.1,1987, Apr Average, Romania, ROU
13,1987, May Average, Romania, ROU
18.3,1987, Jun Average, Romania, ROU
21.4,1987, Jul Average, Romania, ROU
17.3,1987, Aug Average, Romania, ROU
16.9,1987, Sep Average, Romania, ROU
9.2,1987, Oct Average, Romania, ROU
5.3,1987, Nov Average, Romania, ROU
-0.8,1987, Dec Average, Romania, ROU
0,1988, Jan Average, Romania, ROU
0.1,1988, Feb Average, Romania, ROU
3.3,1988, Mar Average, Romania, ROU
8.2,1988, Apr Average, Romania, ROU
14.7,1988, May Average, Romania, ROU
17.2,1988, Jun Average, Romania, ROU
21.3,1988, Jul Average, Romania, ROU
19.8,1988, Aug Average, Romania, ROU
15.5,1988, Sep Average, Romania, ROU
8.5,1988, Oct Average, Romania, ROU
-1.2,1988, Nov Average, Romania, ROU
-0.8,1988, Dec Average, Romania, ROU
-1.9,1989, Jan Average, Romania, ROU
1.9,1989, Feb Average, Romania, ROU
6.5,1989, Mar Average, Romania, ROU
11.7,1989, Apr Average, Romania, ROU
13.8,1989, May Average, Romania, ROU
16.4,1989, Jun Average, Romania, ROU
19.5,1989, Jul Average, Romania, ROU
19.5,1989, Aug Average, Romania, ROU
14.8,1989, Sep Average, Romania, ROU
10.1,1989, Oct Average, Romania, ROU
2.7,1989, Nov Average, Romania, ROU
-0.5,1989, Dec Average, Romania, ROU
-2.4,1990, Jan Average, Romania, ROU
2.6,1990, Feb Average, Romania, ROU
7.2,1990, Mar Average, Romania, ROU
9.6,1990, Apr Average, Romania, ROU
14.4,1990, May Average, Romania, ROU
17.4,1990, Jun Average, Romania, ROU
19.3,1990, Jul Average, Romania, ROU
19.5,1990, Aug Average, Romania, ROU
13.5,1990, Sep Average, Romania, ROU
10.1,1990, Oct Average, Romania, ROU
6.1,1990, Nov Average, Romania, ROU
-0.3,1990, Dec Average, Romania, ROU
-1.9,1991, Jan Average, Romania, ROU
-3.2,1991, Feb Average, Romania, ROU
4.9,1991, Mar Average, Romania, ROU
8.4,1991, Apr Average, Romania, ROU
11.7,1991, May Average, Romania, ROU
18,1991, Jun Average, Romania, ROU
20.5,1991, Jul Average, Romania, ROU
18.7,1991, Aug Average, Romania, ROU
15.5,1991, Sep Average, Romania, ROU
9.5,1991, Oct Average, Romania, ROU
4.8,1991, Nov Average, Romania, ROU
-3.5,1991, Dec Average, Romania, ROU
-3.4,1992, Jan Average, Romania, ROU
-1.5,1992, Feb Average, Romania, ROU
4,1992, Mar Average, Romania, ROU
9.8,1992, Apr Average, Romania, ROU
13.8,1992, May Average, Romania, ROU
18,1992, Jun Average, Romania, ROU
19.9,1992, Jul Average, Romania, ROU
22.5,1992, Aug Average, Romania, ROU
14.7,1992, Sep Average, Romania, ROU
10.4,1992, Oct Average, Romania, ROU
4.8,1992, Nov Average, Romania, ROU
-2.7,1992, Dec Average, Romania, ROU
-2.7,1993, Jan Average, Romania, ROU
-3.6,1993, Feb Average, Romania, ROU
1.8,1993, Mar Average, Romania, ROU
8.7,1993, Apr Average, Romania, ROU
16.3,1993, May Average, Romania, ROU
17.9,1993, Jun Average, Romania, ROU
18.7,1993, Jul Average, Romania, ROU
18.9,1993, Aug Average, Romania, ROU
14.2,1993, Sep Average, Romania, ROU
11.4,1993, Oct Average, Romania, ROU
0.2,1993, Nov Average, Romania, ROU
1.5,1993, Dec Average, Romania, ROU
0.7,1994, Jan Average, Romania, ROU
-0.1,1994, Feb Average, Romania, ROU
5.7,1994, Mar Average, Romania, ROU
10.6,1994, Apr Average, Romania, ROU
14.8,1994, May Average, Romania, ROU
17.8,1994, Jun Average, Romania, ROU
21.4,1994, Jul Average, Romania, ROU
20.7,1994, Aug Average, Romania, ROU
19.1,1994, Sep Average, Romania, ROU
9.5,1994, Oct Average, Romania, ROU
3.8,1994, Nov Average, Romania, ROU
-0.6,1994, Dec Average, Romania, ROU
-3.1,1995, Jan Average, Romania, ROU
3,1995, Feb Average, Romania, ROU
4.2,1995, Mar Average, Romania, ROU
9,1995, Apr Average, Romania, ROU
13.7,1995, May Average, Romania, ROU
18.3,1995, Jun Average, Romania, ROU
21.6,1995, Jul Average, Romania, ROU
19.2,1995, Aug Average, Romania, ROU
14.4,1995, Sep Average, Romania, ROU
10.1,1995, Oct Average, Romania, ROU
0.6,1995, Nov Average, Romania, ROU
-2,1995, Dec Average, Romania, ROU
-4,1996, Jan Average, Romania, ROU
-0.5,1996, Feb Average, Romania, ROU
-0.8,1996, Mar Average, Romania, ROU
9.1,1996, Apr Average, Romania, ROU
16.7,1996, May Average, Romania, ROU
19.1,1996, Jun Average, Romania, ROU
18.9,1996, Jul Average, Romania, ROU
19.2,1996, Aug Average, Romania, ROU
12.3,1996, Sep Average, Romania, ROU
10,1996, Oct Average, Romania, ROU
6.9,1996, Nov Average, Romania, ROU
-1.6,1996, Dec Average, Romania, ROU
-3.1,1997, Jan Average, Romania, ROU
-0.3,1997, Feb Average, Romania, ROU
2.9,1997, Mar Average, Romania, ROU
5.7,1997, Apr Average, Romania, ROU
15.5,1997, May Average, Romania, ROU
18.4,1997, Jun Average, Romania, ROU
18.8,1997, Jul Average, Romania, ROU
18.5,1997, Aug Average, Romania, ROU
13.5,1997, Sep Average, Romania, ROU
7.3,1997, Oct Average, Romania, ROU
4.8,1997, Nov Average, Romania, ROU
0.1,1997, Dec Average, Romania, ROU
-0.2,1998, Jan Average, Romania, ROU
1.7,1998, Feb Average, Romania, ROU
1.9,1998, Mar Average, Romania, ROU
11.4,1998, Apr Average, Romania, ROU
13.9,1998, May Average, Romania, ROU
19,1998, Jun Average, Romania, ROU
20.1,1998, Jul Average, Romania, ROU
19.8,1998, Aug Average, Romania, ROU
14.6,1998, Sep Average, Romania, ROU
10.6,1998, Oct Average, Romania, ROU
1.8,1998, Nov Average, Romania, ROU
-5.5,1998, Dec Average, Romania, ROU
-1.6,1999, Jan Average, Romania, ROU
-1,1999, Feb Average, Romania, ROU
4.9,1999, Mar Average, Romania, ROU
10.6,1999, Apr Average, Romania, ROU
13.9,1999, May Average, Romania, ROU
19.6,1999, Jun Average, Romania, ROU
21.5,1999, Jul Average, Romania, ROU
19.8,1999, Aug Average, Romania, ROU
17,1999, Sep Average, Romania, ROU
10.2,1999, Oct Average, Romania, ROU
2.8,1999, Nov Average, Romania, ROU
-0.2,1999, Dec Average, Romania, ROU
-4.8,2000, Jan Average, Romania, ROU
0.5,2000, Feb Average, Romania, ROU
3.8,2000, Mar Average, Romania, ROU
12.3,2000, Apr Average, Romania, ROU
16.2,2000, May Average, Romania, ROU
19.1,2000, Jun Average, Romania, ROU
19.9,2000, Jul Average, Romania, ROU
21.2,2000, Aug Average, Romania, ROU
14.5,2000, Sep Average, Romania, ROU
10.9,2000, Oct Average, Romania, ROU
7.8,2000, Nov Average, Romania, ROU
1.4,2000, Dec Average, Romania, ROU
-0.2,2001, Jan Average, Romania, ROU
0.7,2001, Feb Average, Romania, ROU
6.9,2001, Mar Average, Romania, ROU
9.8,2001, Apr Average, Romania, ROU
15.2,2001, May Average, Romania, ROU
16.8,2001, Jun Average, Romania, ROU
21.3,2001, Jul Average, Romania, ROU
21.3,2001, Aug Average, Romania, ROU
14.8,2001, Sep Average, Romania, ROU
11.8,2001, Oct Average, Romania, ROU
2.5,2001, Nov Average, Romania, ROU
-6.2,2001, Dec Average, Romania, ROU
-2.7,2002, Jan Average, Romania, ROU
3.6,2002, Feb Average, Romania, ROU
6.2,2002, Mar Average, Romania, ROU
9.4,2002, Apr Average, Romania, ROU
16.8,2002, May Average, Romania, ROU
19.2,2002, Jun Average, Romania, ROU
21.9,2002, Jul Average, Romania, ROU
19.8,2002, Aug Average, Romania, ROU
15.1,2002, Sep Average, Romania, ROU
10,2002, Oct Average, Romania, ROU
6.3,2002, Nov Average, Romania, ROU
-3.7,2002, Dec Average, Romania, ROU
-2.9,2003, Jan Average, Romania, ROU
-5.9,2003, Feb Average, Romania, ROU
1.9,2003, Mar Average, Romania, ROU
8.1,2003, Apr Average, Romania, ROU
18.2,2003, May Average, Romania, ROU
20.3,2003, Jun Average, Romania, ROU
20.3,2003, Jul Average, Romania, ROU
21.5,2003, Aug Average, Romania, ROU
14.8,2003, Sep Average, Romania, ROU
8.4,2003, Oct Average, Romania, ROU
5.6,2003, Nov Average, Romania, ROU
-1,2003, Dec Average, Romania, ROU
-4.2,2004, Jan Average, Romania, ROU
-0.6,2004, Feb Average, Romania, ROU
4.7,2004, Mar Average, Romania, ROU
10.3,2004, Apr Average, Romania, ROU
13.5,2004, May Average, Romania, ROU
18,2004, Jun Average, Romania, ROU
20.1,2004, Jul Average, Romania, ROU
19.5,2004, Aug Average, Romania, ROU
14.9,2004, Sep Average, Romania, ROU
11.3,2004, Oct Average, Romania, ROU
5,2004, Nov Average, Romania, ROU
0.6,2004, Dec Average, Romania, ROU
-1.1,2005, Jan Average, Romania, ROU
-4,2005, Feb Average, Romania, ROU
1.7,2005, Mar Average, Romania, ROU
9.7,2005, Apr Average, Romania, ROU
15.3,2005, May Average, Romania, ROU
17.4,2005, Jun Average, Romania, ROU
20.2,2005, Jul Average, Romania, ROU
19.5,2005, Aug Average, Romania, ROU
16.3,2005, Sep Average, Romania, ROU
10,2005, Oct Average, Romania, ROU
3.5,2005, Nov Average, Romania, ROU
0.2,2005, Dec Average, Romania, ROU
-5.2,2006, Jan Average, Romania, ROU
-2.5,2006, Feb Average, Romania, ROU
2.9,2006, Mar Average, Romania, ROU
10.4,2006, Apr Average, Romania, ROU
14.3,2006, May Average, Romania, ROU
18,2006, Jun Average, Romania, ROU
21,2006, Jul Average, Romania, ROU
19.4,2006, Aug Average, Romania, ROU
16.2,2006, Sep Average, Romania, ROU
11.1,2006, Oct Average, Romania, ROU
5.1,2006, Nov Average, Romania, ROU
1.1,2006, Dec Average, Romania, ROU
2.4,2007, Jan Average, Romania, ROU
2.1,2007, Feb Average, Romania, ROU
6.8,2007, Mar Average, Romania, ROU
10.4,2007, Apr Average, Romania, ROU
16.8,2007, May Average, Romania, ROU
20.7,2007, Jun Average, Romania, ROU
22.2,2007, Jul Average, Romania, ROU
21.3,2007, Aug Average, Romania, ROU
14.5,2007, Sep Average, Romania, ROU
10.1,2007, Oct Average, Romania, ROU
2.8,2007, Nov Average, Romania, ROU
-1.7,2007, Dec Average, Romania, ROU
-1.5,2008, Jan Average, Romania, ROU
1.5,2008, Feb Average, Romania, ROU
6,2008, Mar Average, Romania, ROU
10.5,2008, Apr Average, Romania, ROU
15,2008, May Average, Romania, ROU
19.5,2008, Jun Average, Romania, ROU
20.2,2008, Jul Average, Romania, ROU
21.2,2008, Aug Average, Romania, ROU
14.6,2008, Sep Average, Romania, ROU
11.3,2008, Oct Average, Romania, ROU
5.3,2008, Nov Average, Romania, ROU
1.6,2008, Dec Average, Romania, ROU
-2.1,2009, Jan Average, Romania, ROU
0.1,2009, Feb Average, Romania, ROU
4,2009, Mar Average, Romania, ROU
12,2009, Apr Average, Romania, ROU
15.7,2009, May Average, Romania, ROU
18.9,2009, Jun Average, Romania, ROU
21.6,2009, Jul Average, Romania, ROU
20.7,2009, Aug Average, Romania, ROU
17.3,2009, Sep Average, Romania, ROU
10.7,2009, Oct Average, Romania, ROU
6.4,2009, Nov Average, Romania, ROU
0.5,2009, Dec Average, Romania, ROU
-3.6,2010, Jan Average, Romania, ROU
0.1,2010, Feb Average, Romania, ROU
4.3,2010, Mar Average, Romania, ROU
10.3,2010, Apr Average, Romania, ROU
15.4,2010, May Average, Romania, ROU
19,2010, Jun Average, Romania, ROU
21.4,2010, Jul Average, Romania, ROU
21.6,2010, Aug Average, Romania, ROU
15.1,2010, Sep Average, Romania, ROU
7.7,2010, Oct Average, Romania, ROU
8.7,2010, Nov Average, Romania, ROU
-1.6,2010, Dec Average, Romania, ROU
-2.4,2011, Jan Average, Romania, ROU
-2.6,2011, Feb Average, Romania, ROU
4,2011, Mar Average, Romania, ROU
10,2011, Apr Average, Romania, ROU
15,2011, May Average, Romania, ROU
19.1,2011, Jun Average, Romania, ROU
20.7,2011, Jul Average, Romania, ROU
20.8,2011, Aug Average, Romania, ROU
18.2,2011, Sep Average, Romania, ROU
8.8,2011, Oct Average, Romania, ROU
1.3,2011, Nov Average, Romania, ROU
1.6,2011, Dec Average, Romania, ROU
-2.2,2012, Jan Average, Romania, ROU
-6.5,2012, Feb Average, Romania, ROU
4.6,2012, Mar Average, Romania, ROU
11.5,2012, Apr Average, Romania, ROU
16.2,2012, May Average, Romania, ROU
20.8,2012, Jun Average, Romania, ROU
22.6,2012, Jul Average, Romania, ROU
21.9,2012, Aug Average, Romania, ROU
18.1,2012, Sep Average, Romania, ROU
11.9,2012, Oct Average, Romania, ROU
6.2,2012, Nov Average, Romania, ROU
-2.2,2012, Dec Average, Romania, ROU
-1.7,2013, Jan Average, Romania, ROU
1.6,2013, Feb Average, Romania, ROU
3.1,2013, Mar Average, Romania, ROU
11.5,2013, Apr Average, Romania, ROU
16.7,2013, May Average, Romania, ROU
19.2,2013, Jun Average, Romania, ROU
20.7,2013, Jul Average, Romania, ROU
21.6,2013, Aug Average, Romania, ROU
14.2,2013, Sep Average, Romania, ROU
10.8,2013, Oct Average, Romania, ROU
7.6,2013, Nov Average, Romania, ROU
-0.9,2013, Dec Average, Romania, ROU
0.2,2014, Jan Average, Romania, ROU
2.1,2014, Feb Average, Romania, ROU
7.6,2014, Mar Average, Romania, ROU
10.8,2014, Apr Average, Romania, ROU
14.8,2014, May Average, Romania, ROU
18.3,2014, Jun Average, Romania, ROU
20.8,2014, Jul Average, Romania, ROU
20.5,2014, Aug Average, Romania, ROU
16.7,2014, Sep Average, Romania, ROU
10.6,2014, Oct Average, Romania, ROU
5.3,2014, Nov Average, Romania, ROU
1,2014, Dec Average, Romania, ROU
-0.4,2015, Jan Average, Romania, ROU
0.4,2015, Feb Average, Romania, ROU
5,2015, Mar Average, Romania, ROU
9.4,2015, Apr Average, Romania, ROU
15.6,2015, May Average, Romania, ROU
19.2,2015, Jun Average, Romania, ROU
22.2,2015, Jul Average, Romania, ROU
22.2,2015, Aug Average, Romania, ROU
18,2015, Sep Average, Romania, ROU
9.7,2015, Oct Average, Romania, ROU
6.2,2015, Nov Average, Romania, ROU
1.6,2015, Dec Average, Romania, ROU
-2.7,2016, Jan Average, Romania, ROU
4.7,2016, Feb Average, Romania, ROU
5.9,2016, Mar Average, Romania, ROU
12.2,2016, Apr Average, Romania, ROU
14.5,2016, May Average, Romania, ROU
20,2016, Jun Average, Romania, ROU
21.4,2016, Jul Average, Romania, ROU
20.5,2016, Aug Average, Romania, ROU
17.3,2016, Sep Average, Romania, ROU
8.8,2016, Oct Average, Romania, ROU
3.9,2016, Nov Average, Romania, ROU
-2.2,2016, Dec Average, Romania, ROU
-6.2,2017, Jan Average, Romania, ROU
0.5,2017, Feb Average, Romania, ROU
7.5,2017, Mar Average, Romania, ROU
9.3,2017, Apr Average, Romania, ROU
15.2,2017, May Average, Romania, ROU
20.2,2017, Jun Average, Romania, ROU
21.1,2017, Jul Average, Romania, ROU
22.1,2017, Aug Average, Romania, ROU
16.5,2017, Sep Average, Romania, ROU
10.5,2017, Oct Average, Romania, ROU
5.4,2017, Nov Average, Romania, ROU
2,2017, Dec Average, Romania, ROU
0,2018, Jan Average, Romania, ROU
-0.6,2018, Feb Average, Romania, ROU
2.6,2018, Mar Average, Romania, ROU
13.9,2018, Apr Average, Romania, ROU
17.9,2018, May Average, Romania, ROU
19.7,2018, Jun Average, Romania, ROU
20.8,2018, Jul Average, Romania, ROU
22.5,2018, Aug Average, Romania, ROU
16.8,2018, Sep Average, Romania, ROU
12.4,2018, Oct Average, Romania, ROU
5.1,2018, Nov Average, Romania, ROU
-0.6,2018, Dec Average, Romania, ROU
-2.1,2019, Jan Average, Romania, ROU
1.7,2019, Feb Average, Romania, ROU
7,2019, Mar Average, Romania, ROU
10.7,2019, Apr Average, Romania, ROU
14.5,2019, May Average, Romania, ROU
21.4,2019, Jun Average, Romania, ROU
20.7,2019, Jul Average, Romania, ROU
22.1,2019, Aug Average, Romania, ROU
17.1,2019, Sep Average, Romania, ROU
11.9,2019, Oct Average, Romania, ROU
9.2,2019, Nov Average, Romania, ROU
2.3,2019, Dec Average, Romania, ROU
-1.3,2020, Jan Average, Romania, ROU
3.2,2020, Feb Average, Romania, ROU
6.3,2020, Mar Average, Romania, ROU
10.1,2020, Apr Average, Romania, ROU
13.5,2020, May Average, Romania, ROU
19.1,2020, Jun Average, Romania, ROU
20.9,2020, Jul Average, Romania, ROU
21.9,2020, Aug Average, Romania, ROU
18.3,2020, Sep Average, Romania, ROU
12.7,2020, Oct Average, Romania, ROU
4.5,2020, Nov Average, Romania, ROU
3,2020, Dec Average, Romania, ROU
